Variable,Measure,COU,Country,Year,Value
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,1995,120
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,1996,151
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,1997,151
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,1998,181
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,1999,190
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2000,197
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2001,196
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2002,246
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2003,245
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2004,258
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2005,215
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2006,188
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2007,242
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2008,266
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2009,276
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2010,284
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2011,265
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2012,276
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2013,246
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2014,218
Diseases of the blood and blood-forming organs,Number of total deaths,DNK,Denmark,2015,251
Diabetes mellitus,Number of total deaths,DNK,Denmark,1993,997
Diabetes mellitus,Number of total deaths,DNK,Denmark,1994,837
Diabetes mellitus,Number of total deaths,DNK,Denmark,1995,795
Diabetes mellitus,Number of total deaths,DNK,Denmark,1996,629
Diabetes mellitus,Number of total deaths,DNK,Denmark,1997,1093
Diabetes mellitus,Number of total deaths,DNK,Denmark,1998,1195
Diabetes mellitus,Number of total deaths,DNK,Denmark,1999,1367
Diabetes mellitus,Number of total deaths,DNK,Denmark,2000,1433
Diabetes mellitus,Number of total deaths,DNK,Denmark,2001,1373
Diabetes mellitus,Number of total deaths,DNK,Denmark,2002,1462
Diabetes mellitus,Number of total deaths,DNK,Denmark,2003,1360
Diabetes mellitus,Number of total deaths,DNK,Denmark,2004,1288
Diabetes mellitus,Number of total deaths,DNK,Denmark,2005,1337
Diabetes mellitus,Number of total deaths,DNK,Denmark,2006,1302
Diabetes mellitus,Number of total deaths,DNK,Denmark,2007,1307
Diabetes mellitus,Number of total deaths,DNK,Denmark,2008,1281
Diabetes mellitus,Number of total deaths,DNK,Denmark,2009,1322
Diabetes mellitus,Number of total deaths,DNK,Denmark,2010,1248
Diabetes mellitus,Number of total deaths,DNK,Denmark,2011,1355
Diabetes mellitus,Number of total deaths,DNK,Denmark,2012,1314
Diabetes mellitus,Number of total deaths,DNK,Denmark,2013,1320
Diabetes mellitus,Number of total deaths,DNK,Denmark,2014,1293
Diabetes mellitus,Number of total deaths,DNK,Denmark,2015,1352
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,1993,1047
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,1994,728
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,1995,935
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,1996,786
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,1997,1234
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,1998,1397
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,1999,1751
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2000,1592
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2001,1819
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2002,2247
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2003,2047
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2004,2193
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2005,2535
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2006,2719
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2007,2863
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2008,3061
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2009,3075
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2010,3104
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2011,3006
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2012,3102
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2013,3200
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2014,3115
Mental and behavioural disorders,Number of total deaths,DNK,Denmark,2015,3435
Diseases of the nervous system,Number of total deaths,DNK,Denmark,1993,729
Diseases of the nervous system,Number of total deaths,DNK,Denmark,1994,767
Diseases of the nervous system,Number of total deaths,DNK,Denmark,1995,892
Diseases of the nervous system,Number of total deaths,DNK,Denmark,1996,807
Diseases of the nervous system,Number of total deaths,DNK,Denmark,1997,940
Diseases of the nervous system,Number of total deaths,DNK,Denmark,1998,1008
Diseases of the nervous system,Number of total deaths,DNK,Denmark,1999,1108
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2000,1148
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2001,1257
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2002,1349
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2003,1365
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2004,1375
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2005,1405
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2006,1499
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2007,1636
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2008,1629
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2009,1642
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2010,1871
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2011,1817
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2012,1879
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2013,2021
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2014,2045
Diseases of the nervous system,Number of total deaths,DNK,Denmark,2015,2261
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,1993,26665
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,1994,24528
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,1995,24926
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,1996,22540
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,1997,22003
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,1998,21274
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,1999,21459
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2000,20531
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2001,20873
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2002,20446
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2003,19837
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2004,18538
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2005,17639
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2006,16971
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2007,16042
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2008,15031
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2009,14628
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2010,14398
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2011,13093
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2012,13096
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2013,12655
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2014,12109
Diseases of the circulatory system,Number of total deaths,DNK,Denmark,2015,12504
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,1993,5134
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,1994,4973
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,1995,5622
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,1996,5689
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,1997,5429
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,1998,5284
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,1999,5626
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2000,5222
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2001,5339
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2002,5823
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2003,5859
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2004,5415
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2005,5221
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2006,5253
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2007,5658
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2008,5622
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2009,6045
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2010,5828
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2011,5723
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2012,5706
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2013,6046
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2014,5522
Diseases of the respiratory system,Number of total deaths,DNK,Denmark,2015,5845
Diseases of the digestive system,Number of total deaths,DNK,Denmark,1993,2246
Diseases of the digestive system,Number of total deaths,DNK,Denmark,1994,2620
Diseases of the digestive system,Number of total deaths,DNK,Denmark,1995,2828
Diseases of the digestive system,Number of total deaths,DNK,Denmark,1996,2428
Diseases of the digestive system,Number of total deaths,DNK,Denmark,1997,2847
Diseases of the digestive system,Number of total deaths,DNK,Denmark,1998,2806
Diseases of the digestive system,Number of total deaths,DNK,Denmark,1999,2886
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2000,2800
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2001,2800
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2002,2832
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2003,2743
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2004,2760
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2005,2868
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2006,2925
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2007,2667
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2008,2744
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2009,2721
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2010,2710
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2011,2444
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2012,2243
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2013,2159
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2014,2169
Diseases of the digestive system,Number of total deaths,DNK,Denmark,2015,2074
External causes of mortality,Number of total deaths,DNK,Denmark,1993,3846
External causes of mortality,Number of total deaths,DNK,Denmark,1994,3684
External causes of mortality,Number of total deaths,DNK,Denmark,1995,3624
External causes of mortality,Number of total deaths,DNK,Denmark,1996,3371
External causes of mortality,Number of total deaths,DNK,Denmark,1997,3537
External causes of mortality,Number of total deaths,DNK,Denmark,1998,3412
External causes of mortality,Number of total deaths,DNK,Denmark,1999,3441
External causes of mortality,Number of total deaths,DNK,Denmark,2000,3356
External causes of mortality,Number of total deaths,DNK,Denmark,2001,3078
External causes of mortality,Number of total deaths,DNK,Denmark,2002,2596
External causes of mortality,Number of total deaths,DNK,Denmark,2003,2547
External causes of mortality,Number of total deaths,DNK,Denmark,2004,2435
External causes of mortality,Number of total deaths,DNK,Denmark,2005,2589
External causes of mortality,Number of total deaths,DNK,Denmark,2006,2672
External causes of mortality,Number of total deaths,DNK,Denmark,2007,2503
External causes of mortality,Number of total deaths,DNK,Denmark,2008,2438
External causes of mortality,Number of total deaths,DNK,Denmark,2009,2213
External causes of mortality,Number of total deaths,DNK,Denmark,2010,2059
External causes of mortality,Number of total deaths,DNK,Denmark,2011,2160
External causes of mortality,Number of total deaths,DNK,Denmark,2012,2092
External causes of mortality,Number of total deaths,DNK,Denmark,2013,2051
External causes of mortality,Number of total deaths,DNK,Denmark,2014,2039
External causes of mortality,Number of total deaths,DNK,Denmark,2015,1920
Neoplasms,Number of total deaths,DNK,Denmark,1993,15875
Neoplasms,Number of total deaths,DNK,Denmark,1994,16099
Neoplasms,Number of total deaths,DNK,Denmark,1995,16142
Neoplasms,Number of total deaths,DNK,Denmark,1996,15649
Neoplasms,Number of total deaths,DNK,Denmark,1997,15814
Neoplasms,Number of total deaths,DNK,Denmark,1998,15730
Neoplasms,Number of total deaths,DNK,Denmark,1999,15956
Neoplasms,Number of total deaths,DNK,Denmark,2000,15966
Neoplasms,Number of total deaths,DNK,Denmark,2001,15971
Neoplasms,Number of total deaths,DNK,Denmark,2002,15434
Neoplasms,Number of total deaths,DNK,Denmark,2003,15396
Neoplasms,Number of total deaths,DNK,Denmark,2004,15634
Neoplasms,Number of total deaths,DNK,Denmark,2005,15746
Neoplasms,Number of total deaths,DNK,Denmark,2006,16031
Neoplasms,Number of total deaths,DNK,Denmark,2007,15429
Neoplasms,Number of total deaths,DNK,Denmark,2008,15517
Neoplasms,Number of total deaths,DNK,Denmark,2009,15202
Neoplasms,Number of total deaths,DNK,Denmark,2010,15605
Neoplasms,Number of total deaths,DNK,Denmark,2011,15503
Neoplasms,Number of total deaths,DNK,Denmark,2012,15839
Neoplasms,Number of total deaths,DNK,Denmark,2013,15504
Neoplasms,Number of total deaths,DNK,Denmark,2014,15610
Neoplasms,Number of total deaths,DNK,Denmark,2015,15714
All causes of death,Number of total deaths,FIN,Finland,1993,51028
All causes of death,Number of total deaths,FIN,Finland,1994,47938
All causes of death,Number of total deaths,FIN,Finland,1995,49325
All causes of death,Number of total deaths,FIN,Finland,1996,49161
All causes of death,Number of total deaths,FIN,Finland,1997,49143
All causes of death,Number of total deaths,FIN,Finland,1998,49237
All causes of death,Number of total deaths,FIN,Finland,1999,49368
All causes of death,Number of total deaths,FIN,Finland,2000,49316
All causes of death,Number of total deaths,FIN,Finland,2001,48504
All causes of death,Number of total deaths,FIN,Finland,2002,49389
All causes of death,Number of total deaths,FIN,Finland,2003,49033
All causes of death,Number of total deaths,FIN,Finland,2004,47757
All causes of death,Number of total deaths,FIN,Finland,2005,47751
All causes of death,Number of total deaths,FIN,Finland,2006,48106
All causes of death,Number of total deaths,FIN,Finland,2007,49093
All causes of death,Number of total deaths,FIN,Finland,2008,49090
All causes of death,Number of total deaths,FIN,Finland,2009,49904
All causes of death,Number of total deaths,FIN,Finland,2010,50910
All causes of death,Number of total deaths,FIN,Finland,2011,50568
All causes of death,Number of total deaths,FIN,Finland,2012,51737
All causes of death,Number of total deaths,FIN,Finland,2013,51478
All causes of death,Number of total deaths,FIN,Finland,2014,52409
All causes of death,Number of total deaths,FIN,Finland,2015,52302
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,1993,339
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,1994,357
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,1995,393
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,1996,438
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,1997,357
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,1998,363
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,1999,395
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2000,393
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2001,365
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2002,381
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2003,377
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2004,343
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2005,367
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2006,335
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2007,458
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2008,437
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2009,430
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2010,436
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2011,406
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2012,306
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2013,312
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2014,310
Certain infectious and parasitic diseases,Number of total deaths,FIN,Finland,2015,258
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,1993,46
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,1994,44
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,1995,41
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,1996,60
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,1997,56
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,1998,58
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,1999,67
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2000,49
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2001,64
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2002,61
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2003,64
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2004,54
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2005,47
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2006,57
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2007,59
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2008,50
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2009,37
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2010,57
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2011,54
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2012,53
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2013,70
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2014,64
Diseases of the blood and blood-forming organs,Number of total deaths,FIN,Finland,2015,86
Diabetes mellitus,Number of total deaths,FIN,Finland,1993,595
Diabetes mellitus,Number of total deaths,FIN,Finland,1994,536
Diabetes mellitus,Number of total deaths,FIN,Finland,1995,566
Diabetes mellitus,Number of total deaths,FIN,Finland,1996,593
Diabetes mellitus,Number of total deaths,FIN,Finland,1997,547
Diabetes mellitus,Number of total deaths,FIN,Finland,1998,556
Diabetes mellitus,Number of total deaths,FIN,Finland,1999,549
Diabetes mellitus,Number of total deaths,FIN,Finland,2000,572
Diabetes mellitus,Number of total deaths,FIN,Finland,2001,524
Diabetes mellitus,Number of total deaths,FIN,Finland,2002,545
Diabetes mellitus,Number of total deaths,FIN,Finland,2003,528
Diabetes mellitus,Number of total deaths,FIN,Finland,2004,547
Diabetes mellitus,Number of total deaths,FIN,Finland,2005,519
Diabetes mellitus,Number of total deaths,FIN,Finland,2006,473
Diabetes mellitus,Number of total deaths,FIN,Finland,2007,530
Diabetes mellitus,Number of total deaths,FIN,Finland,2008,540
Diabetes mellitus,Number of total deaths,FIN,Finland,2009,436
Diabetes mellitus,Number of total deaths,FIN,Finland,2010,456
Diabetes mellitus,Number of total deaths,FIN,Finland,2011,478
Diabetes mellitus,Number of total deaths,FIN,Finland,2012,491
Diabetes mellitus,Number of total deaths,FIN,Finland,2013,488
Diabetes mellitus,Number of total deaths,FIN,Finland,2014,498
Diabetes mellitus,Number of total deaths,FIN,Finland,2015,483
Mental and behavioural disorders,Number of total deaths,FIN,Finland,1993,1971
Mental and behavioural disorders,Number of total deaths,FIN,Finland,1994,1927
Mental and behavioural disorders,Number of total deaths,FIN,Finland,1995,1984
Mental and behavioural disorders,Number of total deaths,FIN,Finland,1996,2678
Mental and behavioural disorders,Number of total deaths,FIN,Finland,1997,2891
Mental and behavioural disorders,Number of total deaths,FIN,Finland,1998,2993
Mental and behavioural disorders,Number of total deaths,FIN,Finland,1999,3145
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2000,3083
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2001,2997
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2002,3246
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2003,3112
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2004,2827
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2005,2727
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2006,2685
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2007,2540
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2008,2369
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2009,2347
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2010,2355
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2011,2073
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2012,2311
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2013,2290
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2014,2325
Mental and behavioural disorders,Number of total deaths,FIN,Finland,2015,2353
Diseases of the nervous system,Number of total deaths,FIN,Finland,1993,1046
Diseases of the nervous system,Number of total deaths,FIN,Finland,1994,915
Diseases of the nervous system,Number of total deaths,FIN,Finland,1995,1027
Diseases of the nervous system,Number of total deaths,FIN,Finland,1996,1273
Diseases of the nervous system,Number of total deaths,FIN,Finland,1997,1452
Diseases of the nervous system,Number of total deaths,FIN,Finland,1998,1472
Diseases of the nervous system,Number of total deaths,FIN,Finland,1999,1596
Diseases of the nervous system,Number of total deaths,FIN,Finland,2000,1553
Diseases of the nervous system,Number of total deaths,FIN,Finland,2001,1811
Diseases of the nervous system,Number of total deaths,FIN,Finland,2002,2165
Diseases of the nervous system,Number of total deaths,FIN,Finland,2003,2293
Diseases of the nervous system,Number of total deaths,FIN,Finland,2004,2489
Diseases of the nervous system,Number of total deaths,FIN,Finland,2005,2797
Diseases of the nervous system,Number of total deaths,FIN,Finland,2006,3201
Diseases of the nervous system,Number of total deaths,FIN,Finland,2007,3606
Diseases of the nervous system,Number of total deaths,FIN,Finland,2008,4082
Diseases of the nervous system,Number of total deaths,FIN,Finland,2009,4649
Diseases of the nervous system,Number of total deaths,FIN,Finland,2010,5369
Diseases of the nervous system,Number of total deaths,FIN,Finland,2011,5773
Diseases of the nervous system,Number of total deaths,FIN,Finland,2012,6621
Diseases of the nervous system,Number of total deaths,FIN,Finland,2013,7050
Diseases of the nervous system,Number of total deaths,FIN,Finland,2014,7917
Diseases of the nervous system,Number of total deaths,FIN,Finland,2015,8301
Diseases of the circulatory system,Number of total deaths,FIN,Finland,1993,24582
Diseases of the circulatory system,Number of total deaths,FIN,Finland,1994,22827
Diseases of the circulatory system,Number of total deaths,FIN,Finland,1995,23482
Diseases of the circulatory system,Number of total deaths,FIN,Finland,1996,22043
Diseases of the circulatory system,Number of total deaths,FIN,Finland,1997,21674
Diseases of the circulatory system,Number of total deaths,FIN,Finland,1998,21546
Diseases of the circulatory system,Number of total deaths,FIN,Finland,1999,21500
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2000,21399
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2001,20787
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2002,21133
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2003,20775
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2004,19758
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2005,19764
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2006,19980
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2007,20312
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2008,20281
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2009,20361
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2010,20587
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2011,20246
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2012,20329
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2013,19654
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2014,19643
Diseases of the circulatory system,Number of total deaths,FIN,Finland,2015,19435
Diseases of the respiratory system,Number of total deaths,FIN,Finland,1993,4337
Diseases of the respiratory system,Number of total deaths,FIN,Finland,1994,3652
Diseases of the respiratory system,Number of total deaths,FIN,Finland,1995,3762
Diseases of the respiratory system,Number of total deaths,FIN,Finland,1996,4214
Diseases of the respiratory system,Number of total deaths,FIN,Finland,1997,3999
Diseases of the respiratory system,Number of total deaths,FIN,Finland,1998,4098
Diseases of the respiratory system,Number of total deaths,FIN,Finland,1999,4178
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2000,4293
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2001,3839
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2002,3865
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2003,3667
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2004,2971
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2005,2467
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2006,2126
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2007,2233
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2008,1980
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2009,2210
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2010,1988
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2011,2034
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2012,2026
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2013,1893
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2014,1837
Diseases of the respiratory system,Number of total deaths,FIN,Finland,2015,1940
Diseases of the digestive system,Number of total deaths,FIN,Finland,1993,1902
Diseases of the digestive system,Number of total deaths,FIN,Finland,1994,1846
Diseases of the digestive system,Number of total deaths,FIN,Finland,1995,1941
Diseases of the digestive system,Number of total deaths,FIN,Finland,1996,1992
Diseases of the digestive system,Number of total deaths,FIN,Finland,1997,2018
Diseases of the digestive system,Number of total deaths,FIN,Finland,1998,1990
Diseases of the digestive system,Number of total deaths,FIN,Finland,1999,1952
Diseases of the digestive system,Number of total deaths,FIN,Finland,2000,2048
Diseases of the digestive system,Number of total deaths,FIN,Finland,2001,2010
Diseases of the digestive system,Number of total deaths,FIN,Finland,2002,2036
Diseases of the digestive system,Number of total deaths,FIN,Finland,2003,2011
Diseases of the digestive system,Number of total deaths,FIN,Finland,2004,2331
Diseases of the digestive system,Number of total deaths,FIN,Finland,2005,2466
Diseases of the digestive system,Number of total deaths,FIN,Finland,2006,2409
Diseases of the digestive system,Number of total deaths,FIN,Finland,2007,2637
Diseases of the digestive system,Number of total deaths,FIN,Finland,2008,2460
Diseases of the digestive system,Number of total deaths,FIN,Finland,2009,2600
Diseases of the digestive system,Number of total deaths,FIN,Finland,2010,2460
Diseases of the digestive system,Number of total deaths,FIN,Finland,2011,2438
Diseases of the digestive system,Number of total deaths,FIN,Finland,2012,2400
Diseases of the digestive system,Number of total deaths,FIN,Finland,2013,2454
Diseases of the digestive system,Number of total deaths,FIN,Finland,2014,2429
Diseases of the digestive system,Number of total deaths,FIN,Finland,2015,2226
External causes of mortality,Number of total deaths,FIN,Finland,1993,4316
External causes of mortality,Number of total deaths,FIN,Finland,1994,4325
External causes of mortality,Number of total deaths,FIN,Finland,1995,4378
