Variable,Measure,COU,Country,Year,Value
Diabetes mellitus,Number of total deaths,AUS,Australia,2010,3946
Diabetes mellitus,Number of total deaths,AUS,Australia,2011,4211
Diabetes mellitus,Number of total deaths,AUS,Australia,2012,4241
Diabetes mellitus,Number of total deaths,AUS,Australia,2013,4333
Diabetes mellitus,Number of total deaths,AUS,Australia,2014,4353
Diabetes mellitus,Number of total deaths,AUS,Australia,2015,4662
Mental and behavioural disorders,Number of total deaths,AUS,Australia,1993,2329
Mental and behavioural disorders,Number of total deaths,AUS,Australia,1994,3015
Mental and behavioural disorders,Number of total deaths,AUS,Australia,1995,3101
Mental and behavioural disorders,Number of total deaths,AUS,Australia,1996,3557
Mental and behavioural disorders,Number of total deaths,AUS,Australia,1997,3117
Mental and behavioural disorders,Number of total deaths,AUS,Australia,1998,2854
Mental and behavioural disorders,Number of total deaths,AUS,Australia,1999,2840
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2000,3077
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2001,2696
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2002,3157
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2003,3238
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2004,3406
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2006,5134
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2007,5691
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2008,6377
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2009,6518
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2010,7030
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2011,7641
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2012,8113
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2013,8191
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2014,9003
Mental and behavioural disorders,Number of total deaths,AUS,Australia,2015,9595
Diseases of the nervous system,Number of total deaths,AUS,Australia,1993,2781
Diseases of the nervous system,Number of total deaths,AUS,Australia,1994,2941
Diseases of the nervous system,Number of total deaths,AUS,Australia,1995,2946
Diseases of the nervous system,Number of total deaths,AUS,Australia,1996,3072
Diseases of the nervous system,Number of total deaths,AUS,Australia,1997,2746
Diseases of the nervous system,Number of total deaths,AUS,Australia,1998,3730
Diseases of the nervous system,Number of total deaths,AUS,Australia,1999,3917
Diseases of the nervous system,Number of total deaths,AUS,Australia,2000,4065
Diseases of the nervous system,Number of total deaths,AUS,Australia,2001,4233
Diseases of the nervous system,Number of total deaths,AUS,Australia,2002,4597
Diseases of the nervous system,Number of total deaths,AUS,Australia,2003,4334
Diseases of the nervous system,Number of total deaths,AUS,Australia,2004,4562
Diseases of the nervous system,Number of total deaths,AUS,Australia,2006,4941
Diseases of the nervous system,Number of total deaths,AUS,Australia,2007,5491
Diseases of the nervous system,Number of total deaths,AUS,Australia,2008,5996
Diseases of the nervous system,Number of total deaths,AUS,Australia,2009,5919
Diseases of the nervous system,Number of total deaths,AUS,Australia,2010,6220
Diseases of the nervous system,Number of total deaths,AUS,Australia,2011,6762
Diseases of the nervous system,Number of total deaths,AUS,Australia,2012,6915
Diseases of the nervous system,Number of total deaths,AUS,Australia,2013,7541
Diseases of the nervous system,Number of total deaths,AUS,Australia,2014,8143
Diseases of the nervous system,Number of total deaths,AUS,Australia,2015,8469
Diseases of the circulatory system,Number of total deaths,AUS,Australia,1993,52925
Diseases of the circulatory system,Number of total deaths,AUS,Australia,1994,54922
Diseases of the circulatory system,Number of total deaths,AUS,Australia,1995,52697
Diseases of the circulatory system,Number of total deaths,AUS,Australia,1996,53720
Diseases of the circulatory system,Number of total deaths,AUS,Australia,1997,52339
Diseases of the circulatory system,Number of total deaths,AUS,Australia,1998,51862
Diseases of the circulatory system,Number of total deaths,AUS,Australia,1999,51261
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2000,49833
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2001,49534
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2002,49977
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2003,48603
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2004,47545
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2006,45914
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2007,46958
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2008,48673
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2009,46183
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2010,45520
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2011,45637
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2012,44038
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2013,43615
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2014,45054
Diseases of the circulatory system,Number of total deaths,AUS,Australia,2015,45392
Diseases of the respiratory system,Number of total deaths,AUS,Australia,1993,9117
Diseases of the respiratory system,Number of total deaths,AUS,Australia,1994,9967
Diseases of the respiratory system,Number of total deaths,AUS,Australia,1995,9348
Diseases of the respiratory system,Number of total deaths,AUS,Australia,1996,10382
Diseases of the respiratory system,Number of total deaths,AUS,Australia,1997,13192
Diseases of the respiratory system,Number of total deaths,AUS,Australia,1998,9618
Diseases of the respiratory system,Number of total deaths,AUS,Australia,1999,9657
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2000,10988
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2001,10622
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2002,11640
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2003,11828
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2004,11633
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2006,10877
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2007,11623
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2008,11275
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2009,11045
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2010,11961
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2011,12518
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2012,13260
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2013,12475
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2014,13788
Diseases of the respiratory system,Number of total deaths,AUS,Australia,2015,14314
Diseases of the digestive system,Number of total deaths,AUS,Australia,1993,3746
Diseases of the digestive system,Number of total deaths,AUS,Australia,1994,3878
Diseases of the digestive system,Number of total deaths,AUS,Australia,1995,3787
Diseases of the digestive system,Number of total deaths,AUS,Australia,1996,3886
Diseases of the digestive system,Number of total deaths,AUS,Australia,1997,3947
Diseases of the digestive system,Number of total deaths,AUS,Australia,1998,4007
Diseases of the digestive system,Number of total deaths,AUS,Australia,1999,4215
Diseases of the digestive system,Number of total deaths,AUS,Australia,2000,4145
Diseases of the digestive system,Number of total deaths,AUS,Australia,2001,4053
Diseases of the digestive system,Number of total deaths,AUS,Australia,2002,4485
Diseases of the digestive system,Number of total deaths,AUS,Australia,2003,4494
Diseases of the digestive system,Number of total deaths,AUS,Australia,2004,4525
Diseases of the digestive system,Number of total deaths,AUS,Australia,2006,4534
Diseases of the digestive system,Number of total deaths,AUS,Australia,2007,4804
Diseases of the digestive system,Number of total deaths,AUS,Australia,2008,4970
Diseases of the digestive system,Number of total deaths,AUS,Australia,2009,5014
Diseases of the digestive system,Number of total deaths,AUS,Australia,2010,5120
Diseases of the digestive system,Number of total deaths,AUS,Australia,2011,5210
Diseases of the digestive system,Number of total deaths,AUS,Australia,2012,5255
Diseases of the digestive system,Number of total deaths,AUS,Australia,2013,5422
Diseases of the digestive system,Number of total deaths,AUS,Australia,2014,5485
Diseases of the digestive system,Number of total deaths,AUS,Australia,2015,5667
External causes of mortality,Number of total deaths,AUS,Australia,1993,6895
External causes of mortality,Number of total deaths,AUS,Australia,1994,7214
External causes of mortality,Number of total deaths,AUS,Australia,1995,7015
External causes of mortality,Number of total deaths,AUS,Australia,1996,7596
External causes of mortality,Number of total deaths,AUS,Australia,1997,7542
External causes of mortality,Number of total deaths,AUS,Australia,1998,8198
External causes of mortality,Number of total deaths,AUS,Australia,1999,8284
External causes of mortality,Number of total deaths,AUS,Australia,2000,8173
External causes of mortality,Number of total deaths,AUS,Australia,2001,7808
External causes of mortality,Number of total deaths,AUS,Australia,2002,7786
External causes of mortality,Number of total deaths,AUS,Australia,2003,7673
External causes of mortality,Number of total deaths,AUS,Australia,2004,7970
External causes of mortality,Number of total deaths,AUS,Australia,2006,8102
External causes of mortality,Number of total deaths,AUS,Australia,2007,8232
External causes of mortality,Number of total deaths,AUS,Australia,2008,8900
External causes of mortality,Number of total deaths,AUS,Australia,2009,9071
External causes of mortality,Number of total deaths,AUS,Australia,2010,8981
External causes of mortality,Number of total deaths,AUS,Australia,2011,9209
External causes of mortality,Number of total deaths,AUS,Australia,2012,9338
External causes of mortality,Number of total deaths,AUS,Australia,2013,9171
External causes of mortality,Number of total deaths,AUS,Australia,2014,10115
External causes of mortality,Number of total deaths,AUS,Australia,2015,10573
Neoplasms,Number of total deaths,AUS,Australia,1993,33013
Neoplasms,Number of total deaths,AUS,Australia,1994,34348
Neoplasms,Number of total deaths,AUS,Australia,1995,33944
Neoplasms,Number of total deaths,AUS,Australia,1996,35021
Neoplasms,Number of total deaths,AUS,Australia,1997,34860
Neoplasms,Number of total deaths,AUS,Australia,1998,35675
Neoplasms,Number of total deaths,AUS,Australia,1999,35880
Neoplasms,Number of total deaths,AUS,Australia,2000,36567
Neoplasms,Number of total deaths,AUS,Australia,2001,37459
Neoplasms,Number of total deaths,AUS,Australia,2002,38269
Neoplasms,Number of total deaths,AUS,Australia,2003,38266
Neoplasms,Number of total deaths,AUS,Australia,2004,38883
Neoplasms,Number of total deaths,AUS,Australia,2006,39770
Neoplasms,Number of total deaths,AUS,Australia,2007,40331
Neoplasms,Number of total deaths,AUS,Australia,2008,42423
Neoplasms,Number of total deaths,AUS,Australia,2009,41965
Neoplasms,Number of total deaths,AUS,Australia,2010,43316
Neoplasms,Number of total deaths,AUS,Australia,2011,43737
Neoplasms,Number of total deaths,AUS,Australia,2012,43511
Neoplasms,Number of total deaths,AUS,Australia,2013,44676
Neoplasms,Number of total deaths,AUS,Australia,2014,44737
Neoplasms,Number of total deaths,AUS,Australia,2015,46551
All causes of death,Number of total deaths,AUT,Austria,1993,82517
All causes of death,Number of total deaths,AUT,Austria,1994,80684
All causes of death,Number of total deaths,AUT,Austria,1995,81171
All causes of death,Number of total deaths,AUT,Austria,1996,80790
All causes of death,Number of total deaths,AUT,Austria,1997,79432
All causes of death,Number of total deaths,AUT,Austria,1998,78339
All causes of death,Number of total deaths,AUT,Austria,1999,78200
All causes of death,Number of total deaths,AUT,Austria,2000,76780
All causes of death,Number of total deaths,AUT,Austria,2001,74767
All causes of death,Number of total deaths,AUT,Austria,2002,76131
All causes of death,Number of total deaths,AUT,Austria,2003,77209
All causes of death,Number of total deaths,AUT,Austria,2004,74292
All causes of death,Number of total deaths,AUT,Austria,2005,75189
All causes of death,Number of total deaths,AUT,Austria,2006,74295
All causes of death,Number of total deaths,AUT,Austria,2007,74625
All causes of death,Number of total deaths,AUT,Austria,2008,75083
All causes of death,Number of total deaths,AUT,Austria,2009,77381
All causes of death,Number of total deaths,AUT,Austria,2010,77199
All causes of death,Number of total deaths,AUT,Austria,2011,76479
All causes of death,Number of total deaths,AUT,Austria,2012,79436
All causes of death,Number of total deaths,AUT,Austria,2013,79526
All causes of death,Number of total deaths,AUT,Austria,2014,78252
All causes of death,Number of total deaths,AUT,Austria,2015,83073
All causes of death,Number of total deaths,AUT,Austria,2016,80669
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,1993,373
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,1994,409
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,1995,340
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,1996,291
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,1997,264
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,1998,338
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,1999,342
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2000,308
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2001,297
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2002,490
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2003,579
Certain infectious and parasitic diseases,Number of total deaths,AUT,Austria,2004,538
